,Unnamed: 0,Unnamed: 0.1,actor_1_name,actor_2_name,actor_3_name,comb,director_name,genres,movie_title
0,0.0,0.0,CCH Pounder,Joel David Moore,Wes Studi,CCH Pounder Joel David Moore Wes Studi James Cameron Action Adventure Fantasy Sci-Fi,James Cameron,Action Adventure Fantasy Sci-Fi,avatar
1,1.0,1.0,Johnny Depp,Orlando Bloom,Jack Davenport,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy,Gore Verbinski,Action Adventure Fantasy,pirates of the caribbean: at world's end
2,2.0,2.0,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes Action Adventure Thriller,Sam Mendes,Action Adventure Thriller,spectre
3,3.0,3.0,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan Action Thriller,Christopher Nolan,Action Thriller,the dark knight rises
4,4.0,4.0,Doug Walker,Rob Walker,unknown,Doug Walker Rob Walker unknown Doug Walker Documentary,Doug Walker,Documentary,star wars: episode vii - the force awakens            
5,5.0,5.0,Daryl Sabara,Samantha Morton,Polly Walker,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton Action Adventure Sci-Fi,Andrew Stanton,Action Adventure Sci-Fi,john carter
6,6.0,6.0,Brad Garrett,Donna Murphy,M.C. Gainey,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno Adventure Animation Comedy Family Fantasy Musical Romance,Nathan Greno,Adventure Animation Comedy Family Fantasy Musical Romance,tangled
7,7.0,7.0,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-Fi,Joss Whedon,Action Adventure Sci-Fi,avengers: age of ultron
8,8.0,8.0,Alan Rickman,Daniel Radcliffe,Rupert Grint,Alan Rickman Daniel Radcliffe Rupert Grint David Yates Adventure Family Fantasy Mystery,David Yates,Adventure Family Fantasy Mystery,harry potter and the half-blood prince
9,9.0,9.0,Henry Cavill,Lauren Cohan,Alan D. Purwin,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder Action Adventure Sci-Fi,Zack Snyder,Action Adventure Sci-Fi,batman v superman: dawn of justice
10,10.0,10.0,Kevin Spacey,Marlon Brando,Frank Langella,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action Adventure Sci-Fi,Bryan Singer,Action Adventure Sci-Fi,superman returns
11,11.0,11.0,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action Adventure,Marc Forster,Action Adventure,quantum of solace
12,12.0,12.0,Johnny Depp,Orlando Bloom,Jack Davenport,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy,Gore Verbinski,Action Adventure Fantasy,pirates of the caribbean: dead man's chest
13,13.0,13.0,Johnny Depp,Ruth Wilson,Tom Wilkinson,Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski Action Adventure Western,Gore Verbinski,Action Adventure Western,the lone ranger
14,14.0,14.0,Henry Cavill,Christopher Meloni,Harry Lennix,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder Action Adventure Fantasy Sci-Fi,Zack Snyder,Action Adventure Fantasy Sci-Fi,man of steel
15,15.0,15.0,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson Action Adventure Family Fantasy,Andrew Adamson,Action Adventure Family Fantasy,the chronicles of narnia: prince caspian
16,16.0,16.0,Johnny Depp,Sam Claflin,Stephen Graham,Johnny Depp Sam Claflin Stephen Graham Rob Marshall Action Adventure Fantasy,Rob Marshall,Action Adventure Fantasy,pirates of the caribbean: on stranger tides
17,17.0,17.0,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld Action Adventure Comedy Family Fantasy Sci-Fi,Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3
18,18.0,18.0,Aidan Turner,Adam Brown,James Nesbitt,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy,Peter Jackson,Adventure Fantasy,the hobbit: the battle of the five armies
19,19.0,19.0,Emma Stone,Andrew Garfield,Chris Zylka,Emma Stone Andrew Garfield Chris Zylka Marc Webb Action Adventure Fantasy,Marc Webb,Action Adventure Fantasy,the amazing spider-man
20,20.0,20.0,Mark Addy,William Hurt,Scott Grimes,Mark Addy William Hurt Scott Grimes Ridley Scott Action Adventure Drama History,Ridley Scott,Action Adventure Drama History,robin hood
21,21.0,21.0,Aidan Turner,Adam Brown,James Nesbitt,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy,Peter Jackson,Adventure Fantasy,the hobbit: the desolation of smaug
22,22.0,22.0,Christopher Lee,Eva Green,Kristin Scott Thomas,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz Adventure Family Fantasy,Chris Weitz,Adventure Family Fantasy,the golden compass
23,23.0,23.0,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron Drama Romance,James Cameron,Drama Romance,titanic
24,24.0,24.0,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo Action Adventure Sci-Fi,Anthony Russo,Action Adventure Sci-Fi,captain america: civil war
25,25.0,25.0,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg Action Adventure Sci-Fi Thriller,Peter Berg,Action Adventure Sci-Fi Thriller,battleship
26,26.0,26.0,Bryce Dallas Howard,Judy Greer,Omar Sy,Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow Action Adventure Sci-Fi Thriller,Colin Trevorrow,Action Adventure Sci-Fi Thriller,jurassic world
