actor_1_name,actor_2_name,actor_3_name,comb,director_name,genres,movie_title
CCH Pounder,Joel David Moore,Wes Studi,CCH Pounder Joel David Moore Wes Studi James Cameron Action Adventure Fantasy Sci-Fi,James Cameron,Action Adventure Fantasy Sci-Fi,avatar
Johnny Depp,Orlando Bloom,Jack Davenport,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy,Gore Verbinski,Action Adventure Fantasy,pirates of the caribbean: at world's end
Christoph Waltz,Rory Kinnear,Stephanie Sigman,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes Action Adventure Thriller,Sam Mendes,Action Adventure Thriller,spectre
Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan Action Thriller,Christopher Nolan,Action Thriller,the dark knight rises
Doug Walker,Rob Walker,unknown,Doug Walker Rob Walker unknown Doug Walker Documentary,Doug Walker,Documentary,star wars: episode vii - the force awakens            
Daryl Sabara,Samantha Morton,Polly Walker,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton Action Adventure Sci-Fi,Andrew Stanton,Action Adventure Sci-Fi,john carter
Brad Garrett,Donna Murphy,M.C. Gainey,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno Adventure Animation Comedy Family Fantasy Musical Romance,Nathan Greno,Adventure Animation Comedy Family Fantasy Musical Romance,tangled
Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-Fi,Joss Whedon,Action Adventure Sci-Fi,avengers: age of ultron
Alan Rickman,Daniel Radcliffe,Rupert Grint,Alan Rickman Daniel Radcliffe Rupert Grint David Yates Adventure Family Fantasy Mystery,David Yates,Adventure Family Fantasy Mystery,harry potter and the half-blood prince
Henry Cavill,Lauren Cohan,Alan D. Purwin,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder Action Adventure Sci-Fi,Zack Snyder,Action Adventure Sci-Fi,batman v superman: dawn of justice
Kevin Spacey,Marlon Brando,Frank Langella,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action Adventure Sci-Fi,Bryan Singer,Action Adventure Sci-Fi,superman returns
Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action Adventure,Marc Forster,Action Adventure,quantum of solace
Johnny Depp,Orlando Bloom,Jack Davenport,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy,Gore Verbinski,Action Adventure Fantasy,pirates of the caribbean: dead man's chest
Johnny Depp,Ruth Wilson,Tom Wilkinson,Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski Action Adventure Western,Gore Verbinski,Action Adventure Western,the lone ranger
Henry Cavill,Christopher Meloni,Harry Lennix,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder Action Adventure Fantasy Sci-Fi,Zack Snyder,Action Adventure Fantasy Sci-Fi,man of steel
Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson Action Adventure Family Fantasy,Andrew Adamson,Action Adventure Family Fantasy,the chronicles of narnia: prince caspian
Johnny Depp,Sam Claflin,Stephen Graham,Johnny Depp Sam Claflin Stephen Graham Rob Marshall Action Adventure Fantasy,Rob Marshall,Action Adventure Fantasy,pirates of the caribbean: on stranger tides
Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld Action Adventure Comedy Family Fantasy Sci-Fi,Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3
Aidan Turner,Adam Brown,James Nesbitt,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy,Peter Jackson,Adventure Fantasy,the hobbit: the battle of the five armies
Emma Stone,Andrew Garfield,Chris Zylka,Emma Stone Andrew Garfield Chris Zylka Marc Webb Action Adventure Fantasy,Marc Webb,Action Adventure Fantasy,the amazing spider-man
Mark Addy,William Hurt,Scott Grimes,Mark Addy William Hurt Scott Grimes Ridley Scott Action Adventure Drama History,Ridley Scott,Action Adventure Drama History,robin hood
Aidan Turner,Adam Brown,James Nesbitt,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy,Peter Jackson,Adventure Fantasy,the hobbit: the desolation of smaug
Christopher Lee,Eva Green,Kristin Scott Thomas,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz Adventure Family Fantasy,Chris Weitz,Adventure Family Fantasy,the golden compass
Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron Drama Romance,James Cameron,Drama Romance,titanic
Robert Downey Jr.,Scarlett Johansson,Chris Evans,Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo Action Adventure Sci-Fi,Anthony Russo,Action Adventure Sci-Fi,captain america: civil war
Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg Action Adventure Sci-Fi Thriller,Peter Berg,Action Adventure Sci-Fi Thriller,battleship
Bryce Dallas Howard,Judy Greer,Omar Sy,Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow Action Adventure Sci-Fi Thriller,Colin Trevorrow,Action Adventure Sci-Fi Thriller,jurassic world
J.K. Simmons,James Franco,Kirsten Dunst,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy Romance,Sam Raimi,Action Adventure Fantasy Romance,spider-man 2
Robert Downey Jr.,Jon Favreau,Don Cheadle,Robert Downey Jr. Jon Favreau Don Cheadle Shane Black Action Adventure Sci-Fi,Shane Black,Action Adventure Sci-Fi,iron man 3
Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner Action Adventure Fantasy Sci-Fi Thriller,Brett Ratner,Action Adventure Fantasy Sci-Fi Thriller,x-men: the last stand
Steve Buscemi,Tyler Labine,Sean Hayes,Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon Adventure Animation Comedy Family Fantasy,Dan Scanlon,Adventure Animation Comedy Family Fantasy,monsters university
Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Glenn Morshower Kevin Dunn Ramon Rodriguez Michael Bay Action Adventure Sci-Fi,Michael Bay,Action Adventure Sci-Fi,transformers: revenge of the fallen
Bingbing Li,Sophia Myles,Kelsey Grammer,Bingbing Li Sophia Myles Kelsey Grammer Michael Bay Action Adventure Sci-Fi,Michael Bay,Action Adventure Sci-Fi,transformers: age of extinction
